Sample,Depth,8000,4000,3360,2830,2380,2000,1680,1410,1190,1000,850,710,600,500,420,350,297,250,210,177,149,125,105,88,74,62,53,44,37,31,26,22,19,16,13,11,9.3,7.8,6.2,5.5,4.6,3.9,3.3,2.8,2.3,1.9,1.6,1.4
LAN001,23019.25,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00222,0.90377,2.37288,4.27911,6.32186,8.18663,9.53343,10.12997,9.91158,8.98608,7.59544,6.02400,4.52452,3.27206,2.34739,1.74494,1.39991,1.22362,1.13215,1.06497,0.99043,0.90106,0.80548,0.71588,0.64254,0.58907,0.55227,0.52941,0.51096,0.49150,0.46557,0.43150,0.38494,0.32924,0.26586,0.20443
LAN007,23024.95,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00150,0.72176,2.23063,4.10975,6.10024,7.88093,9.13909,9.67617,9.45811,8.60391,7.34330,5.93194,4.58886,3.46111,2.61493,2.04461,1.69521,1.49206,1.36444,1.26121,1.15559,1.04147,0.92699,0.82290,0.73814,0.67520,0.62994,0.59964,0.57428,0.54869,0.51738,0.47864,0.42756,0.36727,0.29800,0.22840
LAN011,23026.75,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.47773,1.90400,3.75607,5.78945,7.67885,9.10017,9.82480,9.77756,9.04515,7.82921,6.39023,4.96251,3.71463,2.73565,2.04244,1.59845,1.33790,1.18959,1.09382,1.01205,0.92710,0.83758,0.75156,0.67727,0.62044,0.58128,0.55483,0.53799,0.52158,0.50092,0.47141,0.43224,0.37997,0.31883,0.25078,0.18505
LAN010,23027.95,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.41529,1.92754,3.91112,6.10692,8.15876,9.69846,10.44836,10.30761,9.37366,7.89348,6.19428,4.57047,3.22492,2.24678,1.62470,1.28157,1.11555,1.03457,0.97513,0.90727,0.82689,0.74408,0.67304,0.62226,0.59312,0.57973,0.57203,0.56458,0.54862,0.52247,0.48512,0.43896,0.38333,0.32410,0.26233,0.20456
LAN012,23028.4,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.55230,1.97379,3.88750,6.03642,8.05830,9.57265,10.30720,10.17375,9.28327,7.88491,6.28960,4.76394,3.48454,2.52678,1.88161,1.48647,1.25829,1.12048,1.01753,0.91974,0.81886,0.71971,0.63269,0.56507,0.51920,0.49156,0.47473,0.46429,0.45201,0.43457,0.40887,0.37491,0.33016,0.27839,0.22063,0.16414
LAN014,23029.75,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.19140,1.07304,2.50056,4.36092,6.37757,8.18542,9.43795,9.91767,9.59451,8.61628,7.23759,5.74639,4.37106,3.24976,2.42902,1.88564,1.55606,1.36434,1.24390,1.14792,1.05193,0.94938,0.84488,0.74846,0.66744,0.60510,0.55944,0.52502,0.49972,0.47675,0.45377,0.42729,0.39614,0.35578,0.30761,0.25069,0.19143
LAN017,23031.5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.18553,1.39921,3.11439,5.16503,7.17811,8.81641,9.78465,9.95027,9.36017,8.20332,6.75164,5.26549,3.94122,2.88906,2.13744,1.65292,1.36765,1.20664,1.10653,1.02630,0.94799,0.87051,0.80223,0.74823,0.70654,0.66970,0.63110,0.59274,0.55322,0.51594,0.47984,0.44421,0.40267,0.35381,0.29382,0.22969
LAN016,23033.4,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07238,0.63541,2.00193,3.71095,5.64919,7.45537,8.75709,9.29066,8.97570,7.94413,6.48878,4.95225,3.61825,2.64822,2.07175,1.81682,1.76882,1.81569,1.87863,1.91169,1.89762,1.83498,1.73303,1.61822,1.49829,1.38681,1.28182,1.18116,1.06744,0.93772,0.78046,0.61383
LAN019,23037.45,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00909,0.51786,1.62298,3.16270,4.95488,6.73395,8.20376,9.11950,9.34490,8.88390,7.87560,6.54236,5.13109,3.85393,2.84289,2.13777,1.70558,1.47457,1.36989,1.33769,1.34706,1.38458,1.42589,1.42684,1.34526,1.17459,0.95296,0.72641,0.54592,0.43181,0.38481,0.38449,0.40011,0.39627,0.36294
LAN020,23038.6,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00131,0.24002,1.09280,2.32919,3.95790,5.72798,7.37234,8.60221,9.20927,9.11571,8.39302,7.22809,5.85760,4.50958,3.35687,2.48945,1.91489,1.58233,1.41504,1.34207,1.31651,1.31477,1.32999,1.34684,1.33371,1.25876,1.11632,0.93624,0.75206,0.60240,0.50152,0.44958,0.42912,0.41733,0.38763,0.33723
LAN021,23039.75,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01404,0.32083,1.59141,3.27463,5.35995,7.42157,9.07097,9.98095,10.00877,9.22715,7.87820,6.27477,4.71309,3.40761,2.45784,1.85651,1.52801,1.37321,1.30746,1.27953,1.26800,1.27079,1.27583,1.25115,1.16315,1.00635,0.81232,0.61896,0.46831,0.37614,0.34156,0.34552,0.36004,0.35484,0.32186
LAN022,23040.25,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00061,0.16540,1.31412,2.94757,5.02706,7.15348,8.94448,10.04637,10.27202,9.63848,8.35355,6.72735,5.07341,3.63484,2.54512,1.82581,1.41606,1.21708,1.13213,1.09443,1.07423,1.06790,1.08353,1.11199,1.11880,1.06534,0.94063,0.77147,0.59349,0.44814,0.35295,0.30976,0.30343,0.30998,0.30222,0.27157
LAN023,23041.25,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00367,0.43121,1.74696,3.59670,5.77250,7.88866,9.52670,10.35656,10.24215,9.28067,7.75014,5.99960,4.35045,3.02421,2.11018,1.57976,1.33310,1.25118,1.23869,1.24274,1.24654,1.25527,1.26246,1.23779,1.14711,0.98498,0.78411,0.58469,0.43079,0.33908,0.30839,0.31890,0.34070,0.34140,0.30926
LAN024,23042.3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00138,0.26683,1.35362,2.86154,4.80214,6.84809,8.66261,9.89293,10.30685,9.85608,8.69399,7.10860,5.42182,3.90472,2.72358,1.92495,1.45943,1.22776,1.12606,1.07886,1.04979,1.03168,1.03198,1.04309,1.03295,0.96567,0.83272,0.66160,0.48866,0.35417,0.27418,0.24854,0.26056,0.28401,0.29047,0.27039
LAN025,23043.5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02556,0.98496,2.26100,4.01765,5.96761,7.82277,9.22307,9.88994,9.71267,8.78898,7.37468,5.78311,4.29660,3.10377,2.27429,1.77508,1.51435,1.38920,1.32278,1.27755,1.24596,1.23586,1.23832,1.21778,1.13469,0.97971,0.78368,0.58645,0.43254,0.33938,0.30657,0.31510,0.33588,0.33722,0.30858
LAN027,23046.3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00042,0.13002,1.16087,2.70706,4.73731,6.88339,8.76445,10.00842,10.39046,9.88568,8.67103,7.04726,5.33876,3.81413,2.63633,1.84927,1.40134,1.19078,1.11101,1.08469,1.07461,1.07340,1.08857,1.11193,1.11002,1.04555,0.90977,0.73181,0.54946,0.40493,0.31519,0.28059,0.28414,0.29936,0.29747,0.26944
LAN028,23048.1,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02323,0.94564,2.29110,4.10468,6.05982,7.83653,9.09943,9.63274,9.38839,8.49031,7.17561,5.71299,4.33788,3.20880,2.38955,1.86134,1.55631,1.39382,1.31010,1.27069,1.26356,1.28829,1.32556,1.32912,1.25193,1.08417,0.86284,0.63596,0.45659,0.34650,0.30650,0.31613,0.34257,0.34910,0.32367
LAN029,23051.1,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00108,0.23498,1.45610,3.12436,5.19350,7.26304,8.97652,10.01159,10.20561,9.58384,8.34385,6.77244,5.15840,3.73030,2.62181,1.86592,1.41640,1.18558,1.08185,1.03802,1.02069,1.02118,1.04302,1.07410,1.07867,1.01876,0.88573,0.70889,0.52660,0.38165,0.29169,0.25756,0.26289,0.28141,0.28418,0.26116
LAN030,23052.8,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07811,1.19655,2.69783,4.66539,6.73727,8.57384,9.82890,10.27475,9.86172,8.72847,7.13938,5.40884,3.81986,2.55956,1.69634,1.19866,0.97719,0.93107,0.98249,1.08319,1.20950,1.32948,1.38982,1.34144,1.17907,0.94915,0.70918,0.52030,0.40727,0.37086,0.38745,0.42002,0.42708,0.39555
LAN032,23055.2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08583,1.28502,2.85485,4.92924,7.09417,8.96138,10.14582,10.42158,9.78855,8.45898,6.76030,5.03331,3.54450,2.43480,1.71920,1.32565,1.14729,1.08863,1.09028,1.12546,1.18779,1.25680,1.28590,1.22787,1.07358,0.86154,0.64162,0.46832,0.36412,0.33016,0.34572,0.37792,0.38967,0.37025
LAN033,23056.8,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01177,0.66883,2.05373,3.89258,5.95084,7.88672,9.33814,10.03982,9.90044,9.02294,7.64975,6.07120,4.55082,3.27344,2.32245,1.69059,1.31399,1.11086,1.01298,0.98097,0.99798,1.05874,1.13896,1.18661,1.14982,1.01647,0.82319,0.61959,0.46021,0.36773,0.34331,0.36593,0.40219,0.41372,0.38799
LAN034,23057.8,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00136,0.26308,1.36420,2.96469,5.00076,7.07736,8.81467,9.86865,10.06287,9.42425,8.16576,6.59366,5.00882,3.63817,2.60199,1.91541,1.51760,1.31410,1.21481,1.16058,1.12843,1.11858,1.13941,1.17784,1.19227,1.13765,1.00131,0.81342,0.61501,0.45337,0.34894,0.30412,0.30239,0.31631,0.31499,0.28817
LAN035,23059.25,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02214,0.91752,2.25982,4.05730,5.98439,7.73464,8.99542,9.56204,9.37614,8.53696,7.25877,5.79889,4.39543,3.22036,2.35452,1.79278,1.47304,1.31292,1.24278,1.22235,1.23571,1.28070,1.33654,1.35451,1.28544,1.11980,0.89734,0.66935,0.49194,0.38756,0.35624,0.37481,0.40709,0.41279,0.37941
LAN036,23060,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00527,0.49306,1.85648,3.70389,5.83363,7.88258,9.46280,10.27120,10.18420,9.29174,7.84912,6.17742,4.57442,3.24914,2.29253,1.68979,1.36036,1.20334,1.13484,1.10600,1.09803,1.11046,1.13086,1.12436,1.05398,0.91228,0.72994,0.54606,0.40357,0.31917,0.29231,0.30444,0.32719,0.32986,0.30289
